game,speaker,referent,referent_id,mds_1,mds_2,mds_3
3951-8c86a62b-51da-4b32-bd8a-2e560b8ad009,60fcfce988af0e9f331ec84a,#0785ac,26,2.0004214205183155,0.4480700528745073,1.1702691292243836
9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf,61118a566bf579b7d69aa202,#4a8a0b,14,-0.4369463284390113,2.399486235110491,-3.605151731915731
2964-8aa2bd97-5c9d-4156-b6d8-e1574af0adb1,60fcf1a04c245326d05076e0,#008c8e,22,0.9139846431053192,4.153910164256327e-05,1.2818911538833047
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#dc4800,3,-1.8727400690589437,2.141311247172189,1.3181896364454266
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,5be2dab1dc5b8d0001ce18a9,#927900,9,2.067332338987011,-1.514625655157806,1.6703730853474714
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,6151f0f200c152d71f393bb5,#7e71ba,31,0.8924787082217044,1.8980749269053057,0.35234163281845104
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,61001a5d58777b6e99cc43a1,#d9445d,0,0.7893708023502385,1.82396657615561,0.45666727690697967
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5b0f33dd1e55760001b9a9ce,#d7456b,39,0.7922270816901767,2.5050267846501892,0.18406947262897477
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,61001a7d72ee7fa3032b8a1a,#008b98,23,1.5357977510366116,-2.1886405804648574,3.014128906508277
8780-7feec203-9a90-4601-a603-2684f706dee4,615e32053d4f0c25ecbd9aaf,#768201,12,-1.373768412150788,-1.7239738783048566,1.0448935899701206
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5e2f1e401a4075000d1bee59,#008b98,23,0.9069883425713762,-0.9184179654709055,2.136014771180359
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f58ceb73a55aa065f014fb4,#9769ae,33,1.2557589753217253,-1.6242601711414275,-1.5455472851653271
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,60a81df1832584842fb188f6,#817f00,11,1.2767402259363434,-2.6925198329931743,0.15894261517874297
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5e2f1e401a4075000d1bee59,#d7456b,39,0.9434858177057328,1.7901883209658926,0.7644301864877102
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6058071bda217990b860e6ee,#009072,19,1.2895504907058883,-2.0854653323990786,0.14479225889450067
0192-51579a54-ca07-4065-adf7-f9f11e47d993,610784123ead4a29b40195b6,#0081cd,28,-3.6433720466605064,-0.6455107011577289,1.2703062034436274
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,#00907c,20,1.2805466720412728,-2.3246690959631833,0.2307506833052114
3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3,60c9fcbb6090f57f63cdbebf,#768201,12,-0.7912466814865463,-1.0697472542988757,1.4179433400196326
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61001bf99a534440d8563358,#009018,15,1.658506348302648,-2.5235637172934853,0.47985129202998644
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f727fee07055f1d02a05a99,#ca5a00,4,1.8347021485416017,1.4678661132779511,-0.22566770940601005
0198-5e695728-0481-4864-a152-cf981b7e539e,5bace93b5cd4520001dc04a5,#0084bc,27,-0.28822116779375,-2.3384500537089763,1.0908007100932833
0739-0ef11871-3b27-486a-99f3-0c26b2628260,6109876949a63b51388197c2,#0087a8,25,1.5917395046355702,-0.47179244039132395,1.5330562234735576
0739-0ef11871-3b27-486a-99f3-0c26b2628260,6109876949a63b51388197c2,#a265a6,34,0.20342584463537614,-0.6555249920830712,0.7983314466729604
2362-f425e887-ea90-40d6-88b9-10dbd716643f,5c61ab19776b38000156cc95,#00907c,20,1.0336659780660384,1.9033951763247619,-1.3495361163702289
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5d2c030eb3efb1001b7e4989,#8c6db5,32,0.9712894121074973,-2.4061471336845006,2.064067002747937
