game,speaker,referent,referent_id,mds_1
2362-f425e887-ea90-40d6-88b9-10dbd716643f,5c61ab19776b38000156cc95,#9a760e,8,1.880914747574185
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,60f5eba9476ad9bc1d4252e9,#009018,15,-1.501768030340588
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,#a67100,7,-2.754723036586715
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,5c105e2757fd11000127e60f,#6976be,30,-0.11867246665896425
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#da4836,2,1.8780911289571875
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#008b98,23,-1.0742637195606355
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5b0f33dd1e55760001b9a9ce,#da464a,1,1.1231154208584289
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,6151f0f200c152d71f393bb5,#8c6db5,32,-2.534006733287426
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,5c105e2757fd11000127e60f,#a265a6,34,2.844750993265267
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5b0f33dd1e55760001b9a9ce,#b45aa4,35,3.557815996370768
0198-5e695728-0481-4864-a152-cf981b7e539e,5bace93b5cd4520001dc04a5,#009072,19,-4.374696143902136
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,60a81df1832584842fb188f6,#008c8e,22,-2.01827460195366
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#927900,9,0.38744072436430105
2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#ae6c00,6,-0.8759486060240456
3951-8c86a62b-51da-4b32-bd8a-2e560b8ad009,60fcfce988af0e9f331ec84a,#0785ac,26,0.3492696070609151
9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf,61118a566bf579b7d69aa202,#4a8a0b,14,4.552250332549224
2964-8aa2bd97-5c9d-4156-b6d8-e1574af0adb1,60fcf1a04c245326d05076e0,#008c8e,22,-0.03491767721359322
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#dc4800,3,2.820266533044411
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,5be2dab1dc5b8d0001ce18a9,#927900,9,-1.638032143540104
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,6151f0f200c152d71f393bb5,#7e71ba,31,1.242823731750256
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,61001a5d58777b6e99cc43a1,#d9445d,0,1.241458771480091
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5b0f33dd1e55760001b9a9ce,#d7456b,39,1.8180847496273236
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,61001a7d72ee7fa3032b8a1a,#008b98,23,-2.2674868580170466
8780-7feec203-9a90-4601-a603-2684f706dee4,615e32053d4f0c25ecbd9aaf,#768201,12,-2.1424952024778268
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5e2f1e401a4075000d1bee59,#008b98,23,-0.5935635801571124
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f58ceb73a55aa065f014fb4,#9769ae,33,-2.2082670072713624
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,60a81df1832584842fb188f6,#817f00,11,-1.5267598543835241
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5e2f1e401a4075000d1bee59,#d7456b,39,1.179132716921489
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6058071bda217990b860e6ee,#009072,19,-1.2625993548678869
0192-51579a54-ca07-4065-adf7-f9f11e47d993,610784123ead4a29b40195b6,#0081cd,28,3.946077360425573
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,#00907c,20,-1.3588011388317152
3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3,60c9fcbb6090f57f63cdbebf,#768201,12,-0.41940697568155844
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61001bf99a534440d8563358,#009018,15,-1.4745750307665904
6136-58beeef7-d336-4143-91d4-0068cdfa2517,5f727fee07055f1d02a05a99,#ca5a00,4,1.1460338985267808
0198-5e695728-0481-4864-a152-cf981b7e539e,5bace93b5cd4520001dc04a5,#0084bc,27,-1.0356709190283058
0739-0ef11871-3b27-486a-99f3-0c26b2628260,6109876949a63b51388197c2,#0087a8,25,-0.2248750902642891
0739-0ef11871-3b27-486a-99f3-0c26b2628260,6109876949a63b51388197c2,#a265a6,34,-0.29064403862854626
2362-f425e887-ea90-40d6-88b9-10dbd716643f,5c61ab19776b38000156cc95,#00907c,20,-2.333391888891064
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5d2c030eb3efb1001b7e4989,#8c6db5,32,-1.606765108282138
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5aa26bda35237b000112e35d,#00905f,17,-1.2036306945122999
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#ae6c00,6,3.9334192340592757
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,#ae6c00,6,1.5929655630136148
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,61001a7d72ee7fa3032b8a1a,#009246,16,-1.7831609453545922
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,610761e24c57926a06f219e2,#a265a6,34,-0.5528549878452016
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5d2c030eb3efb1001b7e4989,#009072,19,-1.4504154675732839
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5aa26bda35237b000112e35d,#0785ac,26,2.067711809457541
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5d2c030eb3efb1001b7e4989,#00907c,20,-2.354296223279213
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#6976be,30,0.9011970215539797
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,610761e24c57926a06f219e2,#da4836,2,-3.0062754533572487
3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3,60c9fcbb6090f57f63cdbebf,#da464a,1,-0.6608625133504011
0198-5e695728-0481-4864-a152-cf981b7e539e,60fcd99413d2d738147c7d55,#009072,19,-1.8204189195559017
0739-0ef11871-3b27-486a-99f3-0c26b2628260,602e0102c7be4d8f930bccb5,#dc4800,3,-3.135304953090524
4516-f0e189ae-c01a-4dd4-aa63-524371292e12,610068e5f60debf1dafc444d,#d4467b,38,1.1132980123609664
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,#6976be,30,-0.5746542414476715
0739-0ef11871-3b27-486a-99f3-0c26b2628260,6109876949a63b51388197c2,#4a8a0b,14,-4.256955179087603
2587-8384393b-1042-47e8-a917-5062e30b3483,610414b7a275aba12c4bf8b0,#009018,15,5.263093165153509
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,610087304c584b2ba35b4034,#bb6400,5,0.5648484685186569
3951-8c86a62b-51da-4b32-bd8a-2e560b8ad009,60fcfce988af0e9f331ec84a,#00907c,20,0.8651395781258747
6055-523df967-9fff-4240-9641-0582631f8802,605243c1f9d94b7d6caf04dc,#7e71ba,31,2.238453794417995
6349-9065b367-5e9e-42c5-8ca8-571d61a8a2d2,5b8ad127ce33a00001e696cf,#b45aa4,35,2.129865991128074
8780-7feec203-9a90-4601-a603-2684f706dee4,5a16eb755d06850001b00bea,#009069,18,-5.452678257786827
9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf,61118a566bf579b7d69aa202,#c55286,37,-2.885416265878567
2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,#0089a0,24,0.23972373585803575
2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,60fe0ff2978d9def5d345ecd,#0089a0,24,3.3225420266308747
0192-51579a54-ca07-4065-adf7-f9f11e47d993,610784123ead4a29b40195b6,#d4467b,38,2.9510469613131076
9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf,61118a566bf579b7d69aa202,#6976be,30,-0.818834611889341
2964-8aa2bd97-5c9d-4156-b6d8-e1574af0adb1,60fcf1a04c245326d05076e0,#bb6400,5,3.9988775410811854
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,61001a7d72ee7fa3032b8a1a,#768201,12,-1.514967003155731
4516-f0e189ae-c01a-4dd4-aa63-524371292e12,610e25f9f9818357aca7dc5f,#ae6c00,6,-3.195210501696321
0192-51579a54-ca07-4065-adf7-f9f11e47d993,5e886bafe66dd44f5c740394,#927900,9,0.477476633314206
4558-a5ec2c63-a8f0-44ec-932f-92117bfa0127,6102ad41aeb80cbf94d1ff64,#008c8e,22,-1.159604315286229
6670-dfc1c549-cdef-423f-8e8a-45fc8a164eef,611c16a6c39439a1dd61c1f7,#0084bc,27,-4.228846192841107
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,#d9445d,0,2.9245876950707452
2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,60fe0ff2978d9def5d345ecd,#00907c,20,3.551294922920581
5552-ebe91faf-36cf-4a1a-88c1-e287570217dc,60f5eba9476ad9bc1d4252e9,#698518,13,-1.3897039810880711
