game,speaker,systematicity,hopkins,learn_score,own_score,comm_score,alignment,n_clusters,btwn_clust_sys,within_clust_sys
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61294b6db5dce4f32fb7df9b,0.797325681423369,0.716910163808196,3.8541092628984632,0.6811301355299143,0.6942880452534532,2.25382212493526,5.0,0.875229397165769,0.7960543726757189
5700-5d3ea060-bdc6-4ea3-a129-2ee677c88541,61001bf99a534440d8563358,0.647686769036837,0.63838050887203,4.4828013368581425,0.6942880452534532,0.6811301355299143,2.25382212493526,5.0,0.863548720139881,0.7121181308770443
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,60a81df1832584842fb188f6,0.790381694554881,0.716983020374748,3.1755319195894827,0.7096069284534984,0.7077676627926294,2.19520209171743,3.0,0.975528037305032,0.7312585300682545
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,61001a7d72ee7fa3032b8a1a,0.747420652044902,0.686207909157712,5.480866837130401,0.7077676627926294,0.7096069284534984,2.19520209171743,4.0,0.806351176078424,0.8609913582721442
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,6151f0f200c152d71f393bb5,0.74037763388377,0.768462832423518,5.266226144817709,0.8038116150277629,0.8179618542419037,2.14164871760334,5.0,0.851659848010966,0.7729855658079018
7322-c9e54e6e-8322-4c7a-9fc4-57a975a0715e,5c105e2757fd11000127e60f,0.788440695450489,0.636478553910642,4.66301028766236,0.8179618542419037,0.8038116150277629,2.14164871760334,4.0,0.981069438589076,0.8436178646283253
2362-f425e887-ea90-40d6-88b9-10dbd716643f,5e521a4b05acdb243aaee8de,0.603530377094994,0.653994876377859,2.930579276668668,0.5377990501666601,0.5338843943193388,1.7491177153065403,1.0,0.0,0.646403200295288
2362-f425e887-ea90-40d6-88b9-10dbd716643f,5c61ab19776b38000156cc95,0.547248984677163,0.718446348407172,3.420792878089995,0.5338843943193388,0.5377990501666601,1.7491177153065403,3.0,0.956574944817723,0.7666883455229658
9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf,5f47b045144b1c1ab5bed08d,0.802095751908683,0.794840588619247,4.709121834334583,0.8221488203788552,0.7779124663078361,1.67650588979251,5.0,0.964507916229304,0.7183175959520255
9304-090b0ab4-b2f6-42b3-a787-d06d2a29fadf,61118a566bf579b7d69aa202,0.821577772952353,0.694502504179323,5.003678738471995,0.7779124663078361,0.8221488203788552,1.67650588979251,5.0,0.962591714552152,0.7527201042295992
