"speaker","n_clusters","dcor","p","min_cluster_size"
"61001bf99a534440d8563358","5","0.863548720139881","0.192980701929807","3"
"5c105e2757fd11000127e60f","4","0.981069438589076","0.0454954504549545","3"
"5b8ad127ce33a00001e696cf","5","0.917002020316","0.181481851814819","3"
"610087304c584b2ba35b4034","5","0.885644472939949","0.426457354264574","3"
"6053ce04a276ce713b3e7c1a","5","0.775202165085778","0.623037696230377","3"
"5aa26bda35237b000112e35d","5","0.751818371195281","0.953404659534047","3"
"610068e5f60debf1dafc444d","4","0.9305393713787","0.461653834616538","3"
"5c61ab19776b38000156cc95","3","0.956574944817723","0.831516848315168","3"
"5b0f33dd1e55760001b9a9ce","5","0.866045988163114","0.591140885911409","3"
"5bace93b5cd4520001dc04a5","5","0.939388877866656","0.215778422157784","3"
"58727901d53c97000159dc92","4","0.881271747979358","0.246975302469753","3"
"60fcfce988af0e9f331ec84a","2","1","1","3"
"61118a566bf579b7d69aa202","5","0.962591714552152","0.0566943305669433","3"
"60fcf1a04c245326d05076e0","4","0.785649370115226","0.837616238376162","3"
"61001a7d72ee7fa3032b8a1a","4","0.806351176078424","0.832416758324168","3"
"5e2f1e401a4075000d1bee59","4","0.908046182385005","0.0837916208379162","3"
"5f58ceb73a55aa065f014fb4","4","0.887945731528389","0.417758224177582","3"
"5d2c030eb3efb1001b7e4989","3","0.991694855609257","0.328667133286671","3"
"610761e24c57926a06f219e2","1","0","1","3"
"60fcd99413d2d738147c7d55","5","0.749403172576013","0.716028397160284","3"
"602e0102c7be4d8f930bccb5","1","0","1","3"
"610414b7a275aba12c4bf8b0","5","0.749169348656234","0.829317068293171","3"
"5a16eb755d06850001b00bea","4","0.915041165351351","0.0816918308169183","3"
"60fe0ff2978d9def5d345ecd","1","0","1","3"
"610e25f9f9818357aca7dc5f","5","0.811237026846483","0.375762423757624","3"
"5e886bafe66dd44f5c740394","5","0.885385342343526","0.0465953404659534","3"
"600f37dd7222cf0f2cf43322","1","0","1","3"
"610006b5173cacb40e469b7b","2","1","1","4"
"615e32053d4f0c25ecbd9aaf","4","0.963258954620241","0.0826917308269173","4"
"61001a5d58777b6e99cc43a1","4","0.849925981725384","0.836716328367163","4"
"6151f63958f5eb5b33db9239","1","0","1","4"
"611072022d4ba516aab619ac","4","0.888055284913992","0.336666333366663","4"
